Term 1,Term 2,Term 3,Frequency of Trigram,"Frequency of Context (Term 1, Term 2)",Conditional Probability
que,estás,si,1,1,1.0
cerró,la,puerta,1,1,1.0
hospital,verdad,?,1,1,1.0
que,no,tenemos,1,14,0.07142857142857142
tenemos,la,misma,1,1,1.0
la,misma,cantidad,1,1,1.0
misma,cantidad,de,1,1,1.0
yo,digo,>,1,2,0.5
cantidad,de,alumnos,1,1,1.0
jajaj,yo,digo,1,1,1.0
de,alumnos,en,1,1,1.0
alumnos,en,cada,1,1,1.0
si,jajaj,yo,1,2,0.5
en,cada,carrera,1,1,1.0
pus,si,jajaj,1,1,1.0
cada,carrera,no,1,1,1.0
carrera,no,se,1,1,1.0
se,si,sea,1,5,0.2
si,sea,bueno,1,1,1.0
",",pus,si,1,1,1.0
sea,bueno,ponerlo,1,1,1.0
bueno,ponerlo,>,1,1,1.0
vava,",",pus,1,5,0.2
<,porque,pues,1,5,0.2
porque,pues,si,1,2,0.5
no,tenemos,la,1,1,1.0
de,que,no,1,3,0.3333333333333333
si,eres,más,1,1,1.0
decíamos,de,que,1,1,1.0
ya,cerró,la,1,1,1.0
oye,ya,cerró,1,4,0.25
<,ntp,>,1,1,1.0
eres,más,propenso,1,1,1.0
más,propenso,a,1,1,1.0
propenso,a,sufrir,1,1,1.0
a,sufrir,de,1,1,1.0
sufrir,de,los,1,1,1.0
los,síntomas,del,1,2,0.5
síntomas,del,tda,1,1,1.0
sip,sip,está,1,1,1.0
tda,",",pero,1,2,0.5
",",pero,igual,1,19,0.05263157894736842
pero,igual,por,1,2,0.5
a,sip,sip,1,7,0.14285714285714285
bien,jaja,>,1,2,0.5
igual,por,lo,1,1,1.0
por,lo,que,1,3,0.3333333333333333
lo,que,decíamos,1,29,0.034482758620689655
esta,bien,jaja,1,3,0.3333333333333333
que,decíamos,de,1,1,1.0
la,única,que,1,1,1.0
diferente,a,lo,1,1,1.0
para,explicarlo,pues,1,2,0.5
que,lleguemos,a,1,1,1.0
si,me,dijo,1,4,0.25
me,dijo,pero,1,2,0.5
dijo,pero,según,1,1,1.0
pero,según,yo,1,2,0.5
según,yo,era,1,4,0.25
yo,era,>,1,1,1.0
<,de,esos,1,9,0.1111111111111111
de,esos,>,1,2,0.5
holaa,oye,",",1,2,0.5
oye,",",mañana,1,19,0.05263157894736842
",",mañana,no,1,2,0.5
es,necesario,que,1,2,0.5
necesario,que,lleguemos,1,1,1.0
lleguemos,a,ia,1,1,1.0
la,de,minería,1,5,0.2
a,ia,verdad,1,1,1.0
ia,verdad,?,1,1,1.0
a,vava,:3,1,9,0.1111111111111111
<,yo,creo,1,2,0.5
<,a,yaya,1,69,0.014492753623188406
a,yaya,",",1,1,1.0
yaya,",",sip,1,1,1.0
",",sip,mañana,1,8,0.125
sip,mañana,te,1,1,1.0
te,la,presto,1,3,0.3333333333333333
la,presto,>,1,1,1.0
",",no,llego,1,7,0.14285714285714285
no,llego,la,1,1,1.0
porque,si,me,1,1,1.0
esos,porque,si,1,1,1.0
de,esos,porque,1,2,0.5
quería,de,esos,1,1,1.0
programo,dieguito,porfa,1,1,1.0
dieguito,porfa,?,1,1,1.0
porfa,?,>,1,1,1.0
<,jaja,ntp,1,5,0.2
jaja,ntp,",",1,1,1.0
ntp,",",gracias,1,1,1.0
",",gracias,:3,1,6,0.16666666666666666
<,jajaja,no,1,20,0.05
jajaja,no,tienes,1,3,0.3333333333333333
no,tienes,la,1,2,0.5
tienes,la,foto,1,1,1.0
la,foto,?,1,4,0.25
<,es,de,1,11,0.09090909090909091
es,de,los,1,2,0.5
de,los,ejercicios,1,15,0.06666666666666667
los,ejercicios,"4,5",1,2,0.5
ejercicios,"4,5",y,1,1,1.0
"4,5",y,6,1,1,1.0
y,6,>,1,1,1.0
a,jaja,es,1,2,0.5
que,no,ando,1,14,0.07142857142857142
mi,casa,",",1,3,0.3333333333333333
casa,",",pero,1,1,1.0
",",pero,creo,1,19,0.05263157894736842
pero,creo,que,1,1,1.0
que,solo,quería,1,2,0.5
solo,quería,de,1,1,1.0
llego,la,de,1,1,1.0
de,minería,entonces,1,1,1.0
codigo,que,programo,1,1,1.0
caars,?,>,1,1,1.0
pongo,al,mío,1,1,1.0
al,mío,jaja,1,1,1.0
mío,jaja,>,1,1,1.0
<,https://github.com/dern965/ameia/blob/main/practica4/practica4.ipynb,>,1,1,1.0
<,vava,",",1,4,0.25
",",gracias,jaja,1,6,0.16666666666666666
