Term 1,Term 2,Frequency of Bigram,Frequency of Context (Term 1),Conditional Probability
puse,ahí,1,7,0.14285714285714285
podemos,usar,1,1,1.0
lo,resumí,1,115,0.008695652173913044
temas,que,1,1,1.0
metí,con,1,2,0.5
sip,creo,1,65,0.015384615384615385
combinar,jajaja,1,1,1.0
ahí,y,1,10,0.1
los,temas,1,45,0.022222222222222223
igual,por,1,13,0.07692307692307693
que,redactaste,1,200,0.005
si,sea,1,148,0.006756756756756757
quedó,redactado,1,7,0.14285714285714285
igual,eso,1,13,0.07692307692307693
checo,igual,1,5,0.2
ya,checo,1,87,0.011494252873563218
otro,y,1,6,0.16666666666666666
lo,otro,1,115,0.008695652173913044
apuro,con,1,1,1.0
me,apuro,1,33,0.030303030303030304
deja,me,1,4,0.25
ya,deja,1,87,0.011494252873563218
entonces,pues,1,24,0.041666666666666664
carrera,entonces,1,3,0.3333333333333333
dependiendo,de,1,1,1.0
variar,dependiendo,1,1,1.0
podía,variar,1,2,0.5
decía,que,1,3,0.3333333333333333
autor,que,1,2,0.5
un,autor,1,12,0.08333333333333333
habia,un,1,1,1.0
solo,habia,1,22,0.045454545454545456
pues,solo,1,35,0.02857142857142857
ocurre,>,1,1,1.0
me,ocurre,1,33,0.030303030303030304
se,me,1,42,0.023809523809523808
única,que,1,1,1.0
la,única,1,88,0.011363636363636364
jajaj,ya,1,26,0.038461538461538464
ponerlo,>,1,1,1.0
bueno,ponerlo,1,31,0.03225806451612903
redactado,lo,1,1,1.0
lo,>,1,115,0.008695652173913044
<,primero,1,501,0.001996007984031936
le,tocó,1,27,0.037037037037037035
ejemplo,de,1,2,0.5
el,ejemplo,1,75,0.013333333333333334
quedamos,con,1,1,1.0
nos,quedamos,1,18,0.05555555555555555
pasar,>,1,4,0.25
y,se,1,86,0.011627906976744186
nahum,y,1,2,0.5
de,nahum,1,153,0.006535947712418301
para,lo,1,29,0.034482758620689655
frida,para,1,1,1.0
con,frida,1,32,0.03125
equipo,con,1,3,0.3333333333333333
tocó,en,1,1,1.0
rafa,?,1,1,1.0
primero,>,1,1,1.0
de,rafa,1,153,0.006535947712418301
número,de,1,1,1.0
el,número,1,75,0.013333333333333334
mañana,:3,1,15,0.06666666666666667
hasta,mañana,1,9,0.1111111111111111
jajaja,xd,1,76,0.013157894736842105
lo,ves,1,115,0.008695652173913044
pongo,>,1,4,0.25
veo,cómo,1,6,0.16666666666666666
ver,deja,1,14,0.07142857142857142
jajaj,a,1,26,0.038461538461538464
chécalo,>,1,1,1.0
ver,chécalo,1,14,0.07142857142857142
sea,bueno,1,2,0.5
carrera,no,1,3,0.3333333333333333
redactaste,tu,1,1,1.0
cada,carrera,1,1,1.0
yo,eso,1,25,0.04
eso,porque,1,26,0.038461538461538464
explicar,de,1,1,1.0
podría,explicar,1,3,0.3333333333333333
se,podría,1,42,0.023809523809523808
tanto,se,1,2,0.5
que,tanto,1,200,0.005
sé,que,1,9,0.1111111111111111
datos,no,1,7,0.14285714285714285
técnicas,de,1,1,1.0
las,técnicas,1,29,0.034482758620689655
apartado,podría,1,1,1.0
otro,apartado,1,6,0.16666666666666666
del,otro,1,32,0.03125
pues,lo,1,35,0.02857142857142857
comprarlo,xd,1,1,1.0
como,comprarlo,1,21,0.047619047619047616
hay,como,1,8,0.125
no,hay,1,102,0.00980392156862745
quitarlo,jaja,1,1,1.0
que,quitarlo,1,200,0.005
si,hay,1,148,0.006756756756756757
los,checo,1,45,0.022222222222222223
entonces,ahorita,1,24,0.041666666666666664
sip,entonces,1,65,0.015384615384615385
autores,jajaj,1,4,0.25
solo,poner,1,22,0.045454545454545456
para,solo,1,29,0.034482758620689655
tu,para,1,9,0.1111111111111111
eso,sí,1,26,0.038461538461538464
sí,ya,1,6,0.16666666666666666
lo,explicamos,1,115,0.008695652173913044
a,sufrir,1,147,0.006802721088435374
en,cada,1,52,0.019230769230769232
alumnos,en,1,1,1.0
de,alumnos,1,153,0.006535947712418301
cantidad,de,1,1,1.0
misma,cantidad,1,1,1.0
la,misma,1,88,0.011363636363636364
tenemos,la,1,6,0.16666666666666666
no,tenemos,1,102,0.00980392156862745
decíamos,de,1,1,1.0
que,decíamos,1,200,0.005
cómo,tal,1,5,0.2
síntomas,del,1,2,0.5
sufrir,de,1,1,1.0
propenso,a,1,1,1.0
explicamos,bien,1,1,1.0
más,propenso,1,13,0.07692307692307693
eres,más,1,1,1.0
si,eres,1,148,0.006756756756756757
