Term 1,Term 2,Term 3,Trigram Frequency,Context Frequency,Conditional Probability
|,Non,|,2,2,1.0
Non,|,|,2,2,1.0
|,Ya,a,1,63,0.015873015873015872
Ya,a,mimir,1,1,1.0
a,mimir,|,1,1,1.0
mimir,|,|,2,2,1.0
|,|,El+tibio,1,1565,0.0006389776357827476
|,El+tibio,|,1,1,1.0
El+tibio,|,|,1,1,1.0
|,Cuales,hay,1,3,0.3333333333333333
Cuales,hay,|,1,1,1.0
hay,|,|,1,1,1.0
|,|,Noooombre,2,1565,0.0012779552715654952
|,Noooombre,|,2,2,1.0
Noooombre,|,|,2,2,1.0
|,|,Deseame,1,1565,0.0006389776357827476
|,Deseame,suerte,1,1,1.0
Deseame,suerte,aun,1,1,1.0
suerte,aun,asi,1,1,1.0
aun,asi,|,1,1,1.0
asi,|,|,4,4,1.0
|,|,Omggg,4,1565,0.0025559105431309905
|,Omggg,|,3,4,0.75
Omggg,|,|,3,3,1.0
|,La,q,1,9,0.1111111111111111
La,q,pusieron,1,1,1.0
q,pusieron,en,1,1,1.0
pusieron,en,combi,1,1,1.0
en,combi,|,1,1,1.0
combi,|,|,2,2,1.0
|,|,Espero,4,1565,0.0025559105431309905
|,Espero,q,3,4,0.75
Espero,q,se,1,3,0.3333333333333333
q,se,alcance,1,5,0.2
se,alcance,a,1,1,1.0
alcance,a,escuchar,1,1,1.0
a,escuchar,jajaja,1,1,1.0
escuchar,jajaja,|,1,1,1.0
jajaja,|,|,7,7,1.0
|,Gracias,x,1,15,0.06666666666666667
Gracias,x,tu,1,1,1.0
x,tu,buenos,1,1,1.0
tu,buenos,deseos,1,1,1.0
buenos,deseos,|,1,1,1.0
deseos,|,|,1,1,1.0
|,|,Pense,1,1565,0.0006389776357827476
|,Pense,q,1,1,1.0
Pense,q,ni,1,1,1.0
q,ni,se,1,2,0.5
ni,se,escucharia,1,1,1.0
se,escucharia,nd,1,1,1.0
escucharia,nd,|,1,1,1.0
|,Gracias,|,9,15,0.6
Gracias,|,|,9,9,1.0
|,Si,",",3,98,0.030612244897959183
Si,",",ya,1,3,0.3333333333333333
",",ya,|,1,3,0.3333333333333333
ya,|,|,3,3,1.0
|,|,Estuvo,1,1565,0.0006389776357827476
|,Estuvo,dificil,1,1,1.0
Estuvo,dificil,la,1,1,1.0
dificil,la,vda,1,1,1.0
la,vda,|,2,2,1.0
