Term 1,Term 2,Term 3,Frequency,Context Frequency,Conditional Probability
>,<,mas,13,12341,0.00105339923831132
>,<,crees,13,12341,0.00105339923831132
wacho,>,<,13,13,1.0
y,creo,que,13,13,1.0
<,y,mi,13,991,0.013118062563067608
<,jajajajaja,>,13,13,1.0
>,<,jajajajaja,13,12341,0.00105339923831132
clase,>,<,13,13,1.0
<,ya,tengo,13,583,0.022298456260720412
>,<,simón,13,12341,0.00105339923831132
<,tas,ocupado,13,20,0.65
chingue,su,madre,13,13,1.0
bro,?,>,13,13,1.0
<,al,rato,13,51,0.2549019607843137
<,que,me,13,226,0.05752212389380531
un,chingo,de,13,44,0.29545454545454547
<,ay,wey,13,22,0.5909090909090909
god,>,<,13,13,1.0
<,pq,?,13,208,0.0625
dia,>,<,13,13,1.0
>,<,mmmm,13,12341,0.00105339923831132
un,poco,>,13,47,0.2765957446808511
no,xd,>,13,13,1.0
uffff,>,<,13,13,1.0
>,<,nada,13,12341,0.00105339923831132
y,no,me,13,83,0.1566265060240964
>,<,nadamas,13,12341,0.00105339923831132
a,ver,que,13,115,0.11304347826086956
>,<,espero,13,12341,0.00105339923831132
>,<,ve,12,12341,0.0009723685276719876
<,ya,ando,12,583,0.02058319039451115
pero,no,se,12,50,0.24
<,pq,no,12,208,0.057692307692307696
>,<,desde,12,12341,0.0009723685276719876
>,<,vete,12,12341,0.0009723685276719876
<,te,digo,12,79,0.1518987341772152
<,no,tengo,12,416,0.028846153846153848
genshin,>,<,12,12,1.0
>,<,tienes,12,12341,0.0009723685276719876
<,ahorita,me,12,97,0.12371134020618557
vez,>,<,12,12,1.0
cansado,>,<,12,12,1.0
<,crees,que,12,13,0.9230769230769231
chido,>,<,12,12,1.0
<,a,bueno,12,264,0.045454545454545456
>,<,nos,12,12341,0.0009723685276719876
y,por,eso,12,19,0.631578947368421
>,<,wacha,12,12341,0.0009723685276719876
facebook,>,<,12,12,1.0
>,<,suerte,12,12341,0.0009723685276719876
ya,quedo,>,12,24,0.5
igual,>,<,12,12,1.0
<,va,a,12,89,0.1348314606741573
voy,>,<,12,12,1.0
le,voy,a,12,14,0.8571428571428571
>,<,pinches,12,12341,0.0009723685276719876
ahorita,voy,a,12,15,0.8
<,xdddd,>,12,12,1.0
también,>,<,12,12,1.0
a,comer,>,12,19,0.631578947368421
>,<,xdddd,12,12341,0.0009723685276719876
hambre,>,<,11,11,1.0
lo,voy,a,11,15,0.7333333333333333
la,verdad,>,11,27,0.4074074074074074
al,rato,>,11,40,0.275
>,<,las,11,12341,0.0008913378170326554
<,oye,y,11,74,0.14864864864864866
>,<,uno,11,12341,0.0008913378170326554
<,a,las,11,264,0.041666666666666664
batiz,>,<,11,11,1.0
pasa,>,<,11,11,1.0
<,no,es,11,416,0.026442307692307692
es,que,me,11,183,0.060109289617486336
>,<,era,11,12341,0.0008913378170326554
>,<,nomas,11,12341,0.0008913378170326554
>,<,mames,11,12341,0.0008913378170326554
cuenta,>,<,11,11,1.0
digo,>,<,11,11,1.0
neta,?,>,11,11,1.0
>,<,neta,11,12341,0.0008913378170326554
6,>,<,11,11,1.0
es,>,<,11,11,1.0
>,<,siento,11,12341,0.0008913378170326554
>,<,figue,11,12341,0.0008913378170326554
momento,>,<,11,11,1.0
ward,>,<,11,11,1.0
>,<,sera,11,12341,0.0008913378170326554
<,y,mira,11,991,0.011099899091826439
:0,>,<,11,11,1.0
<,descansa,bro,11,18,0.6111111111111112
pantalla,>,<,11,11,1.0
>,<,apoco,11,12341,0.0008913378170326554
a,mi,hermano,11,105,0.10476190476190476
cel,>,<,11,11,1.0
<,si,es,11,547,0.02010968921389397
aaaaaa,>,<,11,11,1.0
weee,>,<,11,11,1.0
hoy,quieres,jugar,11,11,1.0
<,ya,que,11,583,0.018867924528301886
<,hoy,quieres,11,75,0.14666666666666667
ella,>,<,11,11,1.0
ntp,bro,>,11,12,0.9166666666666666
<,y,yo,11,991,0.011099899091826439
<,cierto,>,11,17,0.6470588235294118
y,si,prendo,11,79,0.13924050632911392
>,<,tal,11,12341,0.0008913378170326554
>,<,ademas,11,12341,0.0008913378170326554
>,<,sin,11,12341,0.0008913378170326554
no,creo,>,11,27,0.4074074074074074
steam,>,<,11,11,1.0
10,>,<,11,11,1.0
nervioso,>,<,11,11,1.0
<,que,no,11,226,0.048672566371681415
problema,>,<,11,11,1.0
minecraft,>,<,11,11,1.0
si,xd,>,11,11,1.0
se,va,a,11,14,0.7857142857142857
>,<,son,10,12341,0.0008103071063933231
aaaaa,>,<,10,10,1.0
<,pero,me,10,345,0.028985507246376812
gusto,>,<,10,10,1.0
>,<,algo,10,12341,0.0008103071063933231
god,of,war,10,10,1.0
<,a,ok,10,264,0.03787878787878788
en,la,mañana,10,111,0.09009009009009009
dice,>,<,10,10,1.0
<,jajaja,>,10,15,0.6666666666666666
>,<,ta,10,12341,0.0008103071063933231
<,al,menos,10,51,0.19607843137254902
>,<,casi,10,12341,0.0008103071063933231
<,y,ahorita,10,991,0.010090817356205853
un,poco,mas,10,47,0.2127659574468085
estoy,>,<,10,10,1.0
>,<,weee,10,12341,0.0008103071063933231
<,o,ya,10,111,0.09009009009009009
<,pq,me,10,208,0.04807692307692308
>,<,efectivamente,10,12341,0.0008103071063933231
<,pues,ya,10,72,0.1388888888888889
que,tal,se,10,53,0.18867924528301888
hermano,>,<,10,10,1.0
ojo,>,<,10,10,1.0
y,a,ver,10,30,0.3333333333333333
<,es,el,10,225,0.044444444444444446
o,no,se,10,23,0.43478260869565216
el,>,<,10,10,1.0
<,ni,pedo,10,47,0.2127659574468085
>,<,literal,10,12341,0.0008103071063933231
<,ps,si,10,46,0.21739130434782608
<,de,que,10,93,0.10752688172043011
la,historia,>,10,26,0.38461538461538464
<,me,siento,10,248,0.04032258064516129
voy,a,probar,10,214,0.04672897196261682
el,internet,>,10,14,0.7142857142857143
quieres,jugar,hoy,10,69,0.14492753623188406
<,el,pedo,10,182,0.054945054945054944
>,<,chin,10,12341,0.0008103071063933231
8,>,<,10,10,1.0
tas,ocupado,?,10,14,0.7142857142857143
<,y,por,10,991,0.010090817356205853
<,weee,>,10,10,1.0
lo,mejor,y,10,30,0.3333333333333333
<,no,le,10,416,0.02403846153846154
