Term 1,Term 2,Frequency,Context Frequency,Conditional Probability
el,lunes,1,43,0.023255813953488372
lunes,no,1,1,1.0
algo,es,1,10,0.1
algo,lastima,1,10,0.1
q,sera,1,164,0.006097560975609756
sera,dia,1,1,1.0
dia,libre,1,4,0.25
libre,para,1,2,0.5
para,estudiar,1,11,0.09090909090909091
estudiar,pq,1,4,0.25
tengo,10000,1,24,0.041666666666666664
10000,examenes,1,2,0.5
examenes,esta,1,3,0.3333333333333333
semana,aun,1,4,0.25
he,hecho,1,8,0.125
hecho,ningun,1,8,0.125
ningun,examen,1,1,1.0
examen,esta,1,8,0.125
semana,empiezan,1,4,0.25
empiezan,me,1,2,0.5
me,enferme,1,81,0.012345679012345678
enferme,maldita,1,1,1.0
maldita,fokin,1,1,1.0
fokin,gripa,1,1,1.0
gripa,ayuda,1,1,1.0
ayuda,desde,1,3,0.3333333333333333
desde,la,1,3,0.3333333333333333
la,mañana,1,74,0.013513513513513514
mañana,no,1,18,0.05555555555555555
puedo,tengo,1,3,0.3333333333333333
monton,de,1,3,0.3333333333333333
tarea,si,1,7,0.14285714285714285
si,estuve,1,162,0.006172839506172839
estuve,bn,1,1,1.0
pero,ora,1,71,0.014084507042253521
ora,ya,1,1,1.0
me,siento,1,81,0.012345679012345678
siento,mal,1,6,0.16666666666666666
mal,olaola,1,5,0.2
olaola,ya,1,1,1.0
mimida,a,1,2,0.5
hora,perdon,1,3,0.3333333333333333
perdon,por,1,4,0.25
por,no,1,8,0.125
no,ayudarte,1,152,0.006578947368421052
ayudarte,cuales,1,1,1.0
cuales,compraste,1,5,0.2
compraste,ya,1,1,1.0
estoy,mejor,1,10,0.1
mejor,y,1,12,0.08333333333333333
y,mimi,1,56,0.017857142857142856
bn,tu,1,25,0.04
tal,y,1,13,0.07692307692307693
muero,yo,1,2,0.5
impresion,igual,1,3,0.3333333333333333
igual,me,1,4,0.25
me,gustaron,1,81,0.012345679012345678
gustaron,mas,1,1,1.0
mas,esas,1,12,0.08333333333333333
esas,jajaj,1,1,1.0
jajaj,xd,1,16,0.0625
feo,estar,1,4,0.25
estar,malito,1,1,1.0
malito,de,1,1,1.0
q,cereal,1,164,0.006097560975609756
cereal,no,1,2,0.5
no,mucho,1,152,0.006578947368421052
mucho,azucar,1,8,0.125
azucar,para,1,2,0.5
mi,no,1,27,0.037037037037037035
me,empalaga,1,81,0.012345679012345678
empalaga,jajajaj,1,1,1.0
jajajaj,con,1,51,0.0196078431372549
con,cajeta,1,10,0.1
cajeta,animo,1,2,0.5
animo,nomas,1,14,0.07142857142857142
nomas,cajeta,1,11,0.09090909090909091
cajeta,dame,1,2,0.5
dame,xfavor,1,3,0.3333333333333333
xfavor,es,1,1,1.0
mi,kibble,1,27,0.037037037037037035
kibble,jajajajaja,1,1,1.0
jajajajaja,pero,1,3,0.3333333333333333
pero,como,1,71,0.014084507042253521
como,soy,1,20,0.05
soy,r,1,4,0.25
r,debes,1,1,1.0
debes,dsrme,1,1,1.0
dsrme,tmb,1,1,1.0
tmb,un,1,11,0.09090909090909091
un,bluebook,1,29,0.034482758620689655
bluebook,si,1,1,1.0
si,jajajajaja,1,162,0.006172839506172839
jajajajaja,no,1,3,0.3333333333333333
grasias,poke,1,13,0.07692307692307693
poke,xd,1,8,0.125
xd,no,1,19,0.05263157894736842
kiero,poke,1,7,0.14285714285714285
poke,ahora,1,8,0.125
ahora,soy,1,4,0.25
soy,rokera,1,4,0.25
rokera,hoy,1,1,1.0
hoy,no,1,8,0.125
no,el,1,152,0.006578947368421052
el,miercoles,1,43,0.023255813953488372
miercoles,empiezan,1,1,1.0
empiezan,ayuda,1,2,0.5
ayuda,dios,1,3,0.3333333333333333
dios,ola,1,6,0.16666666666666666
ola,jugamos,1,11,0.09090909090909091
jugamos,roblox,1,1,1.0
roblox,es,1,4,0.25
q,estoy,1,164,0.006097560975609756
estoy,aburrida,1,10,0.1
aburrida,pero,1,1,1.0
dio,remordimiemto,1,3,0.3333333333333333
remordimiemto,pq,1,1,1.0
he,estudiado,1,8,0.125
estudiado,si,1,1,1.0
si,vdd,1,162,0.006172839506172839
vdd,tienes,1,14,0.07142857142857142
tienes,cuenta,1,5,0.2
cuenta,create,1,3,0.3333333333333333
create,si,1,1,1.0
me,agregas,1,81,0.012345679012345678
agregas,si,1,1,1.0
nose,pasa,1,4,0.25
pasa,id,1,4,0.25
id,jajajaj,1,1,1.0
jajajaj,avr,1,51,0.0196078431372549
avr,yap,1,6,0.16666666666666666
yap,te,1,2,0.5
te,kreo,1,40,0.025
kreo,mañana,1,3,0.3333333333333333
mañana,busquemos,1,18,0.05555555555555555
busquemos,un,1,1,1.0
juego,donde,1,4,0.25
donde,si,1,8,0.125
se,vea,1,56,0.017857142857142856
vea,nuestro,1,1,1.0
nuestro,mono,1,2,0.5
mono,jajajaja,1,2,0.5
jajajaja,quedamos,1,14,0.07142857142857142
quedamos,no,1,1,1.0
te,odiooo,1,40,0.025
odiooo,me,1,1,1.0
me,diverti,1,81,0.012345679012345678
diverti,gracias,1,1,1.0
gracias,por,1,21,0.047619047619047616
por,jugar,1,8,0.125
jugar,siii,1,5,0.2
siii,es,1,36,0.027777777777777776
es,adictivo,1,67,0.014925373134328358
adictivo,jajajja,1,1,1.0
jajajja,pobre,1,6,0.16666666666666666
pobre,nana,1,1,1.0
nana,asi,1,1,1.0
asi,cualkiera,1,20,0.05
cualkiera,si,1,1,1.0
me,dormi,1,81,0.012345679012345678
dormi,pero,1,3,0.3333333333333333
ya,desperte,1,96,0.010416666666666666
desperte,hajaja,1,1,1.0
hajaja,q,1,1,1.0
q,soñaste,1,164,0.006097560975609756
soñaste,bn,1,1,1.0
