Term 1,Term 2,Frequency,Context Frequency,Conditional Probability
cambias,el,1,1,1.0
grupo,pero,1,5,0.2
pero,las,1,57,0.017543859649122806
las,materias,1,29,0.034482758620689655
materias,son,1,1,1.0
son,las,1,5,0.2
las,mismas,1,29,0.034482758620689655
mismas,jajaj,1,1,1.0
sip,☺,1,65,0.015384615384615385
:3,buenas,1,34,0.029411764705882353
buenas,noches,1,1,1.0
noches,sip,1,1,1.0
te,paso,1,38,0.02631578947368421
paso,lo,1,6,0.16666666666666666
hicimos,hoy,1,3,0.3333333333333333
hoy,en,1,4,0.25
en,proba,1,47,0.02127659574468085
proba,>,1,1,1.0
bueno,en,1,31,0.03225806451612903
en,realidad,1,47,0.02127659574468085
realidad,es,1,1,1.0
solo,copiar,1,22,0.045454545454545456
copiar,diapositivas,1,1,1.0
diapositivas,jaja,1,3,0.3333333333333333
porque,agrego,1,28,0.03571428571428571
agrego,unas,1,1,1.0
unas,y,1,2,0.5
y,sería,1,85,0.011764705882352941
sería,de,1,8,0.125
la,31-33,1,84,0.011904761904761904
31-33,>,1,1,1.0
<,hicimos,1,445,0.0022471910112359553
hicimos,el,1,3,0.3333333333333333
ejercicio,que,1,5,0.2
dejó,de,1,3,0.3333333333333333
de,tarea,1,150,0.006666666666666667
tarea,y,1,1,1.0
esto,fue,1,2,0.5
fue,lo,1,7,0.14285714285714285
que,apuntó,1,198,0.005050505050505051
apuntó,>,1,1,1.0
también,dejo,1,9,0.1111111111111111
dejo,hacer,1,2,0.5
hacer,los,1,11,0.09090909090909091
ejercicios,de,1,4,0.25
las,diapositivas,1,29,0.034482758620689655
diapositivas,69,1,3,0.3333333333333333
69,y,1,1,1.0
y,70,1,85,0.011764705882352941
70,>,1,1,1.0
y,yap,1,85,0.011764705882352941
<,"https://web.seducoahuila.gob.mx/biblioweb/upload/abbott,%20edwin%20a.%20-%20planilandia.pdf",1,445,0.0022471910112359553
"https://web.seducoahuila.gob.mx/biblioweb/upload/abbott,%20edwin%20a.%20-%20planilandia.pdf",>,1,1,1.0
el,3,1,74,0.013513513513513514
3,sería,1,7,0.14285714285714285
