Term 1,Term 2,Frequency,Context Frequency,Conditional Probability
problema,>,11,24,0.4583333333333333
a,este,11,1574,0.00698856416772554
tengo,el,11,171,0.06432748538011696
cuenta,>,11,43,0.2558139534883721
la,segunda,11,1314,0.00837138508371385
steam,>,11,23,0.4782608695652174
hambre,>,11,13,0.8461538461538461
No,es,11,362,0.03038674033149171
<,ntp,11,12342,0.00089126559714795
digo,>,11,66,0.16666666666666666
el,carro,11,1410,0.007801418439716312
te,veo,11,379,0.029023746701846966
como,por,11,346,0.031791907514450865
la,1,11,1314,0.00837138508371385
nervioso,>,11,14,0.7857142857142857
<,vavavava,11,12342,0.00089126559714795
por,mi,11,301,0.036544850498338874
por,lo,11,301,0.036544850498338874
<,Apoco,11,12342,0.00089126559714795
<,mi,11,12342,0.00089126559714795
a,pasar,11,1574,0.00698856416772554
que,era,11,2087,0.005270723526593196
Pues,si,11,63,0.1746031746031746
la,mañana,11,1314,0.00837138508371385
<,le,11,12342,0.00089126559714795
:0,>,11,11,1.0
tengo,un,11,171,0.06432748538011696
me,falta,11,1301,0.008455034588777863
hago,>,11,45,0.24444444444444444
ya,estoy,11,649,0.01694915254237288
el,directo,11,1410,0.007801418439716312
que,nos,11,2087,0.005270723526593196
XDDDD,>,11,11,1.0
a,comprar,11,1574,0.00698856416772554
mi,tia,11,556,0.019784172661870502
ese,es,11,131,0.08396946564885496
los,que,11,394,0.027918781725888325
Que,me,11,182,0.06043956043956044
de,lo,11,1757,0.006260671599317018
me,acuerdo,11,1301,0.008455034588777863
pantalla,>,11,25,0.44
la,parte,11,1314,0.00837138508371385
vuelvo,a,11,11,1.0
el,obs,11,1410,0.007801418439716312
video,>,11,25,0.44
<,Tienes,11,12342,0.00089126559714795
Y,cuando,11,876,0.012557077625570776
ella,>,11,37,0.2972972972972973
4,>,11,42,0.2619047619047619
<,Esto,11,12342,0.00089126559714795
de,ver,11,1757,0.006260671599317018
tu,>,11,131,0.08396946564885496
la,verga,11,1314,0.00837138508371385
<,Verga,11,12342,0.00089126559714795
y,asi,11,1130,0.009734513274336283
batiz,>,11,21,0.5238095238095238
ahi,>,11,65,0.16923076923076924
Tas,ocupado,11,17,0.6470588235294118
Y,pos,11,876,0.012557077625570776
o,si,11,197,0.05583756345177665
un,vergo,11,692,0.015895953757225433
mejor,y,10,115,0.08695652173913043
estoy,>,10,129,0.07751937984496124
O,ya,10,92,0.10869565217391304
con,los,10,414,0.024154589371980676
pero,ya,10,239,0.04184100418410042
en,facebook,10,928,0.010775862068965518
examen,>,10,30,0.3333333333333333
El,de,10,151,0.06622516556291391
ya,mañana,10,649,0.015408320493066256
libre,>,10,19,0.5263157894736842
hacer,el,10,130,0.07692307692307693
<,Nadamas,10,12342,0.0008102414519526819
checo,>,10,11,0.9090909090909091
the,forest,10,23,0.43478260869565216
Hoy,quieres,10,66,0.15151515151515152
<,Uffff,10,12342,0.0008102414519526819
Oye,y,10,65,0.15384615384615385
Ya,ni,10,515,0.019417475728155338
hay,que,10,103,0.0970873786407767
fue,>,10,78,0.1282051282051282
Ya,lo,10,515,0.019417475728155338
los,juegos,10,394,0.025380710659898477
<,Espero,10,12342,0.0008102414519526819
como,el,10,346,0.028901734104046242
ya,ando,10,649,0.015408320493066256
en,terraria,10,928,0.010775862068965518
es,mi,10,569,0.01757469244288225
decir,que,10,26,0.38461538461538464
de,su,10,1757,0.005691519635742743
<,Mas,10,12342,0.0008102414519526819
no,puedo,10,983,0.01017293997965412
